word;word_fr_accent
definitions;définitions
definitive;définitive
definitivement;définitivement
definitoires;définitoires
defis;défis
defit;défit
deflagration;déflagration
deflation;déflation
deflationniste;déflationniste
deflecteur;déflecteur
deflexion;déflexion
defocalise;défocalise
defoliation;défoliation
defoncage;défonçage
deforestation;déforestation
deformabilite;déformabilité
deformable;déformable
deformables;déformables
deformant;déformant
deformante;déformante
deformants;déformants
deformation;déformation
deformations;déformations
deformee;déformée
deformees;déformées
deforment;déforment
deformer;déformer
deformes;déformés
defoulement;défoulement
defrayerent;défrayèrent
defrichage;défrichage
defrichement;défrichement
defrichements;défrichements
defricher;défricher
defricheurs;défricheurs
defroque;défroqué
defunt;défunt
defunte;défunte
defunts;défunts
degageant;dégageant
degagees;dégagées
degagement;dégagement
degagent;dégagent
degager;dégager
degageront;dégageront
degages;dégagés
degat;dégât
degats;dégâts
degazage;dégazage
degaze;dégazé
degel;dégel
degeneratifs;dégénératifs
degeneration;dégénération
degenerative;dégénérative
degeneratives;dégénératives
degenere;dégénéré
degeneree;dégénérée
degenerees;dégénérées
degenerer;dégénérer
degeneres;dégénérés
degenerescence;dégénérescence
degenerescences;dégénérescences
degivrage;dégivrage
deglaciation;déglaciation
deglutition;déglutition
degout;dégoût
degouts;dégoûts
degradable;dégradable
degradables;dégradables
degradantes;dégradantes
degradants;dégradants
degradation;dégradation
degradations;dégradations
degrade;dégradé
degradee;dégradée
degradees;dégradées
degradent;dégradent
degrader;dégrader
degrades;dégradés
degraissage;dégraissage
degre;degré
degres;degrés
deguise;déguisé
deguisee;déguisée
deguisement;déguisement
degustation;dégustation
deictique;déictique
deictiques;déictiques
deisme;déisme
deistes;déistes
deja;déjà
dejante;déjanté
dejection;déjection
dejections;déjections
dejeuner;déjeuner
dejeuners;déjeuners
dejouent;déjouent
dejouer;déjouer
dela;delà
delai;délai
delais;délais
delaisse;délaissé
delaissee;délaissée
delaissees;délaissées
delaisser;délaisser
delaisses;délaissés
delasse;délassé
delegataire;délégataire
delegation;délégation
delegations;délégations
delegue;délégué
deleguee;déléguée
deleguer;déléguer
delegues;délégués
deletere;délétère
deleteres;délétères
deletion;délétion
deletions;délétions
deliaison;déliaison
deliaisons;déliaisons
deliberatif;délibératif
deliberatifs;délibératifs
deliberation;délibération
deliberations;délibérations
deliberative;délibérative
deliberatives;délibératives
delibere;délibéré
deliberee;délibérée
deliberees;délibérées
deliberement;délibérément
deliberer;délibérer
deliberes;délibérés
delicat;délicat
delicate;délicate
delicates;délicates
delicatesse;délicatesse
delicats;délicats
delices;délices
delictueuses;délictueuses
delictueux;délictueux
delie;délie
delignifiant;délignifiant
delignifiants;délignifiants
delignification;délignification
delimitant;délimitant
delimitation;délimitation
delimitations;délimitations
delimites;délimités
delineation;délinéation
delinquance;délinquance
delinquances;délinquances
delinquant;délinquant
delinquante;délinquante
delinquants;délinquants
delire;délire
delit;délit
delite;délité
delits;délits
delivra;délivra
delivrait;délivrait
delivrance;délivrance
delivrances;délivrances
delivrant;délivrant
delivree;délivrée
delivrees;délivrées
delivrent;délivrent
delivrer;délivrer
delivres;délivrés
delocalisation;délocalisation
delocalisations;délocalisations
delocalise;délocalisé
delocalisee;délocalisée
delocalisees;délocalisées
delocalises;délocalisés
deloyale;déloyale
deloyales;déloyales
delphinides;delphinidés
demagnetisant;démagnétisant
demagnetisation;démagnétisation
demagogie;démagogie
demandee;demandée
demandees;demandées
demantelement;démantèlement
demarcation;démarcation
demarcations;démarcations
demarchage;démarchage
demarches;démarches
demarquages;démarquages
demarquant;démarquant
demarquer;démarquer
demarrage;démarrage
demarrages;démarrages
demarrait;démarrait
demarrant;démarrant
demarree;démarrée
demarrees;démarrées
demarrent;démarrent
demarrer;démarrer
demarrera;démarrera
demarrerait;démarrerait
demarrerons;démarrerons
demarreront;démarreront
demarres;démarrés
demarreur;démarreur
demarrons;démarrons
demasque;démasqué
dematerialisation;dématérialisation
dematerialise;dématérialisé
dematerialisee;dématérialisée
dematerialisees;dématérialisées
demeler;démêler
demembre;démembré
demembree;démembrée
demembrement;démembrement
demembrements;démembrements
demembres;démembrés
demenage;déménagé
demenagement;déménagement
demenagements;déménagements
demenager;déménager
demence;démence
demences;démences
dementes;démentes
dementi;démenti
dementiels;démentiels
demersaux;démersaux
demesure;démesure
demesuree;démesurée
demesures;démesures
demeublees;démeublées
demineralise;déminéralise
demission;démission
demissionnaire;démissionnaire
demissionne;démissionné
demissionner;démissionner
demiurge;démiurge
demiurgiques;démiurgiques
demixtion;démixtion
demobilisation;démobilisation
demobilise;démobilisé
democrate;démocrate
democrates;démocrates
democratie;démocratie
democraties;démocraties
democratique;démocratique
democratiques;démocratiques
democratisation;démocratisation
democratiser;démocratiser
demodulateur;démodulateur
demodulation;démodulation
demographe;démographe
demographes;démographes
demographie;démographie
demographique;démographique
demographiques;démographiques
demolition;démolition
demon;démon
demoniaque;démoniaque
demonologie;démonologie
demons;démons
demonstrateur;démonstrateur
demonstrateurs;démonstrateurs
demonstratif;démonstratif
demonstratifs;démonstratifs
demonstration;démonstration
demonstrations;démonstrations
demonstrative;démonstrative
demontage;démontage
demonte;démonté
demonter;démonter
demontrable;démontrable
demontrables;démontrables
demontrait;démontrait
demontrant;démontrant
demontree;démontrée
demontrees;démontrées
demontrent;démontrent
demontrer;démontrer
demontres;démontrés
demontrons;démontrons
demosthene;démosthène
demotique;démotique
demotiques;démotiques
demotive;démotive
demoulage;démoulage
demoustication;démoustication
demultiplie;démultiplie
demultipliee;démultipliée
demunie;démunie
demunis;démunis
demyelinisation;démyélinisation
demystification;démystification
demystifiee;démystifiée
demystifier;démystifier
demythificatrice;démythificatrice
demythifier;démythifier
denaturant;dénaturant
denaturantes;dénaturantes
denaturation;dénaturation
denaturations;dénaturations
denegation;dénégation
deneigement;déneigement
denerves;dénervés
deni;déni
denia;dénia
denicher;dénicher
denigrement;dénigrement
denitrifiante;dénitrifiante
denitrifiantes;dénitrifiantes
denitrification;dénitrification
denivelees;dénivelées
denivellations;dénivellations
denombrable;dénombrable
denombrables;dénombrables
denombre;dénombre
denombrees;dénombrées
denombrement;dénombrement
denombrements;dénombrements
denombrer;dénombrer
denominateur;dénominateur
denomination;dénomination
denominations;dénominations
denommant;dénommant
denommee;dénommée
denommees;dénommées
denommerons;dénommerons
denommes;dénommés
denonce;dénonce
denoncer;dénoncer
denonciateur;dénonciateur
denonciation;dénonciation
denonciations;dénonciations
denote;dénote
denotes;dénotés
denouement;dénouement
denouements;dénouements
denree;denrée
denrees;denrées
densement;densément
densimetre;densimètre
densite;densité
densites;densités
dentee;dentée
dentees;dentées
dentele;dentelé
dentifie;dentifié
denudation;dénudation
denuee;dénuée
denues;dénués
denutri;dénutri
denutrition;dénutrition
denutritions;dénutritions
deodorants;déodorants
deontologie;déontologie
deontologique;déontologique
deontologiques;déontologiques
depannage;dépannage
depannages;dépannages
depanner;dépanner
depart;départ
departe;départe
departement;département
departemental;départemental
departementale;départementale
departementales;départementales
departementalisation;départementalisation
departementaux;départementaux
departements;départements
departir;départir
departs;départs
depassant;dépassant
depassee;dépassée
depassees;dépassées
depassement;dépassement
depassements;dépassements
depassent;dépassent
depasser;dépasser
depassera;dépassera
depassionnee;dépassionnée
depaysee;dépaysée
depaysement;dépaysement
depeche;dépêche
depeches;dépêches
depeint;dépeint
depenaliser;dépénaliser
depend;dépend
dependaient;dépendaient
dependais;dépendais
dependait;dépendait
dependance;dépendance
dependances;dépendances
dependant;dépendant
dependante;dépendante
dependantes;dépendantes
dependants;dépendants
depende;dépende
dependent;dépendent
dependre;dépendre
depends;dépends
dependu;dépendu
depens;dépens
depensee;dépensée
depenser;dépenser
depenses;dépenses
depensier;dépensier
deperissement;dépérissement
deperlance;déperlance
depersonnalisation;dépersonnalisation
dephasage;déphasage
dephasant;déphasant
dephases;déphasés
dephaseur;déphaseur
dephaseurs;déphaseurs
depistage;dépistage
depistages;dépistages
depister;dépister
depistes;dépistés
depit;dépit
deplacable;déplaçable
deplacaient;déplaçaient
deplacant;déplaçant
deplacee;déplacée
deplacees;déplacées
deplacement;déplacement
deplacements;déplacements
deplacent;déplacent
deplacer;déplacer
deplaces;déplacés
deplaisante;déplaisante
deplaisir;déplaisir
deplaisirs;déplaisirs
depletion;déplétion
depliage;dépliage
depliages;dépliages
depliant;dépliant
depliee;dépliée
depliement;dépliement
deploie;déploie
deploiement;déploiement
deploiements;déploiements
deploient;déploient
deplore;déplore
deploree;déplorée
deplorer;déplorer
deployant;déployant
deploye;déployé
deployee;déployée
deployees;déployées
deployer;déployer
deployes;déployés
depointage;dépointage
depolarisation;dépolarisation
depolarisations;dépolarisations
depolitisation;dépolitisation
depolluant;dépolluant
depolluer;dépolluer
depollution;dépollution
depolymerisation;dépolymérisation
depolymeriser;dépolymériser
deportation;déportation
deportations;déportations
deporte;déporté
deportee;déportée
deportement;déportement
deportes;déportés
deposant;déposant
deposante;déposante
deposants;déposants
deposee;déposée
deposees;déposées
deposer;déposer
deposera;déposera
deposerai;déposerai
deposerons;déposerons
deposes;déposés
depositaire;dépositaire
deposition;déposition
depositions;dépositions
deposons;déposons
depossede;dépossédé
depossedee;dépossédée
depossession;dépossession
depot;dépôt
depotoir;dépotoir
depots;dépôts
depouille;dépouillé
depouillees;dépouillées
depouillement;dépouillement
depouillements;dépouillements
depouiller;dépouiller
depreciation;dépréciation
deprecie;déprécie
deprendre;déprendre
depresseurs;dépresseurs
depressif;dépressif
depressifs;dépressifs
depression;dépression
depressionnaires;dépressionnaires
depressions;dépressions
depressive;dépressive
depressives;dépressives
depressurisation;dépressurisation
deprime;déprimé
deprimees;déprimées
deprimes;déprimés
deprise;déprise
deprises;déprises
depute;député
deputee;députée
deputes;députés
dequalification;déqualification
dequalifie;déqualifié
deracine;déraciné
deracinee;déracinée
deracinement;déracinement
deracines;déracinés
deraille;déraille
deraison;déraison
deraisonnable;déraisonnable
deraisonne;déraisonne
deraisons;déraisons
derange;dérange
derangeant;dérangeant
derangeantes;dérangeantes
derapage;dérapage
derapages;dérapages
derape;dérape
derealisation;déréalisation
dereglement;dérèglement
dereglementation;déréglementation
dereglementer;déréglementer
dereglements;dérèglements
dereliction;déréliction
deresponsabilisation;déresponsabilisation
deride;déridé
derision;dérision
derisoire;dérisoire
derivable;dérivable
derivables;dérivables
derivant;dérivant
derivation;dérivation
derivations;dérivations
derivatives;dérivatives
derivee;dérivée
derivees;dérivées
deriver;dériver
derivons;dérivons
derniere;dernière
dernierement;dernièrement
dernieres;dernières
derobee;dérobée
derobees;dérobées
deroche;déroche
derogation;dérogation
derogations;dérogations
derogatoire;dérogatoire
derogatoires;dérogatoires
deroge;déroge
derogeance;dérogeance
deroula;déroula
deroulage;déroulage
deroulaient;déroulaient
deroulait;déroulait
deroulant;déroulant
deroulee;déroulée
deroulees;déroulées
deroulement;déroulement
deroulements;déroulements
deroulent;déroulent
derouler;dérouler
deroulera;déroulera
deroulerait;déroulerait
deroulerent;déroulèrent
derouleront;dérouleront
deroules;déroulés
derouleuse;dérouleuse
deroutante;déroutante
derriere;derrière
desabuse;désabusé
desabusement;désabusement
desaccord;désaccord
desaccorde;désaccordé
desaccordees;désaccordées
desaccordes;désaccordés
desaccords;désaccords
desacralisation;désacralisation
desacraliser;désacraliser
desactivation;désactivation
desadaptation;désadaptation
desadaptes;désadaptés
desaffectation;désaffectation
desaffection;désaffection
desagreable;désagréable
desagreables;désagréables
desagregation;désagrégation
desaimantation;désaimantation
desajustees;désajustées
desaliener;désaliéner
desalignement;désalignement
desambiguisation;désambiguïsation
desaminase;désaminase
desamorcant;désamorçant
desamorcee;désamorcée
desamorcer;désamorcer
desamour;désamour
desarmante;désarmante
desarmee;désarmée
desarmees;désarmées
desarmement;désarmement
desarrimes;désarrimés
desarroi;désarroi
desarrois;désarrois
desarticulations;désarticulations
desarticule;désarticulé
desassemblage;désassemblage
desassembler;désassembler
desastre;désastre
desastres;désastres
desastreuses;désastreuses
desavantage;désavantage
desavantagees;désavantagées
desavantages;désavantages
desenchante;désenchanté
desenchantee;désenchantée
desenchantement;désenchantement
desenclavement;désenclavement
desencombrement;désencombrement
desenfumage;désenfumage
desengagement;désengagement
desengager;désengager
desensibilisation;désensibilisation
desensibilise;désensibilise
desensibiliser;désensibiliser
desenvouteurs;désenvoûteurs
desequilibre;déséquilibre
desequilibree;déséquilibrée
desequilibrees;déséquilibrées
desert;désert
desertee;désertée
desertees;désertées
desertes;désertés
desertification;désertification
desertion;désertion
desertions;désertions
desertique;désertique
desertiques;désertiques
deserts;déserts
desesperons;désespérons
desespoir;désespoir
desexcitation;désexcitation
deshabiller;déshabiller
desherbant;désherbant
desherence;déshérence
deshydratation;déshydratation
deshydrate;déshydraté
deshydrates;déshydratés
deshydrogenation;déshydrogénation
designant;désignant
designation;désignation
designations;désignations
designee;désignée
designees;désignées
designent;désignent
designes;désignés
desillusions;désillusions
desincarnee;désincarnée
desinence;désinence
desinfectant;désinfectant
desinfectante;désinfectante
desinfectants;désinfectants
desinfectee;désinfectée
desinfection;désinfection
desinformation;désinformation
desinsertion;désinsertion
desintegrant;désintégrant
desintegration;désintégration
desintegrations;désintégrations
desinteresse;désintéressé
desinteressement;désintéressement
desinteresses;désintéressés
desinteret;désintérêt
desintoxication;désintoxication
desinvestir;désinvestir
desinvestissement;désinvestissement
desinvestissements;désinvestissements
desir;désir
desirabilite;désirabilité
desirable;désirable
desirables;désirables
desirait;désirait
desirant;désirant
desirants;désirants
desiree;désirée
desirees;désirées
desirent;désirent
desirer;désirer
desires;désirés
desireuse;désireuse
desireuses;désireuses
desireux;désireux
desirs;désirs
desiste;désisté
desistement;désistement
desister;désister
desobeir;désobéir
desobeissance;désobéissance
desobeissances;désobéissances
desobeissante;désobéissante
desodorisation;désodorisation
desodoriser;désodoriser
desoeuvrement;désoeuvrement
desolidariser;désolidariser
desordonne;désordonné
desordonnee;désordonnée
desordonnees;désordonnées
desordre;désordre
desordres;désordres
desorganisation;désorganisation
desorganise;désorganisé
desorientation;désorientation
desoriente;désorienté
desorientee;désorientée
desorientees;désorientées
desormais;désormais
desorption;désorption
desoxygenation;désoxygénation
desoxyribose;désoxyribose
despecialisation;déspécialisation
dessecha;dessécha
dessinee;dessinée
dessinees;dessinées
destabilisant;déstabilisant
destabilisation;déstabilisation
destabilisations;déstabilisations
destinee;destinée
destinees;destinées
destockage;déstockage
destructivite;destructivité
destructuration;déstructuration
destructuree;déstructurée
destructurees;déstructurées
desuet;désuet
desulfuration;désulfuration
desunion;désunion
desynchronisation;désynchronisation
desynchronises;désynchronisés
detachable;détachable
detachables;détachables
detachant;détachant
detachee;détachée
detachees;détachées
detachement;détachement
detachements;détachements
detacher;détacher
detaches;détachés
detail;détail
detaillant;détaillant
detaillee;détaillée
detaillees;détaillées
detailler;détailler
detaillerai;détaillerai
detaillerais;détaillerais
detailles;détaillés
details;détails
detectant;détectant
detectee;détectée
detectees;détectées
detectent;détectent
detecter;détecter
detectes;détectés
detecteur;détecteur
detecteurs;détecteurs
detection;détection
detections;détections
detenait;détenait
detenant;détenant
detendus;détendus
detenir;détenir
detente;détente
detentes;détentes
detenteur;détenteur
detenteurs;détenteurs
detention;détention
detentrices;détentrices
detenu;détenu
detenue;détenue
detenues;détenues
detenus;détenus
detergent;détergent
detergentes;détergentes
detergents;détergents
deterioration;détérioration
deteriore;détériore
deteriorer;détériorer
determinant;déterminant
determinante;déterminante
determinantes;déterminantes
determinants;déterminants
determination;détermination
determinations;déterminations
determinee;déterminée
determinees;déterminées
determinent;déterminent
determiner;déterminer
determinerons;déterminerons
determineront;détermineront
determines;déterminés
determinisme;déterminisme
determinismes;déterminismes
deterministe;déterministe
deterministes;déterministes
determinons;déterminons
detestation;détestation
detienne;détienne
detiennent;détiennent
detiens;détiens
detient;détient
detonation;détonation
detonique;détonique
detour;détour
detourage;détourage
detournant;détournant
detournee;détournée
detournement;détournement
detournements;détournements
detournent;détournent
detourner;détourner
detournes;détournés
detours;détours
detoxication;détoxication
detoxification;détoxification
detracteurs;détracteurs
detresse;détresse
detresses;détresses
detriment;détriment
detritique;détritique
detritiques;détritiques
detroit;détroit
detroits;détroits
detruire;détruire
detruisant;détruisant
detruit;détruit
detruite;détruite
detruites;détruites
detruits;détruits
deutere;deutéré
deuterium;deutérium
deuteronome;deutéronome
deuxieme;deuxième
deuxiemement;deuxièmement
deuxiemes;deuxièmes
devalorisation;dévalorisation
devaloriser;dévaloriser
devalorises;dévalorisés
devaluation;dévaluation
devastateurs;dévastateurs
devastatrice;dévastatrice
developpables;développables
developpaient;développaient
developpais;développais
developpait;développait
developpant;développant
developpantes;développantes
developpee;développée
developpees;développées
developpement;développement
developpements;développements
developpent;développent
developper;développer
developpera;développera
developperai;développerai
developperions;développerions
developperons;développerons
developpes;développés
developpions;développions
developpons;développons
deverbaux;déverbaux
deversees;déversées
deversement;déversement
deverser;déverser
deverses;déversés
deversoirs;déversoirs
devetu;dévêtu
deviance;déviance
deviances;déviances
deviant;déviant
deviante;déviante
deviantes;déviantes
deviants;déviants
deviation;déviation
deviations;déviations
devier;dévier
devitrification;dévitrification
devoiement;dévoiement
devoilant;dévoilant
devoilee;dévoilée
devoilement;dévoilement
devoilements;dévoilements
devoilent;dévoilent
devoiler;dévoiler
devoiles;dévoilés
devolu;dévolu
devolue;dévolue
devolues;dévolues
devolus;dévolus
devolution;dévolution
devonien;dévonien
devonienne;dévonienne
devorateur;dévorateur
devores;dévorés
devot;dévot
devotion;dévotion
devotionnelles;dévotionnelles
devotions;dévotions
devots;dévots
devoue;dévoué
devouement;dévouement
devoyee;dévoyée
dexamethasone;dexaméthasone
dexterite;dextérité
diabete;diabète
diabetes;diabètes
diabetique;diabétique
diabetiques;diabétiques
diabetogene;diabétogène
diabetologie;diabétologie
diabetologues;diabétologues
diacetyle;diacétyle
diademes;diadèmes
diagenese;diagénèse
diagnostiquee;diagnostiquée
dialoguee;dialoguée
diamagnetique;diamagnétique
diamagnetiques;diamagnétiques
diamantees;diamantées
diamantiferes;diamantifères
diametre;diamètre
diametres;diamètres
diapedese;diapédèse
diarrhees;diarrhées
diarrheique;diarrhéique
diatomees;diatomées
dichroique;dichroïque
dichroiques;dichroïques
dichroisme;dichroïsme
dicotyledone;dicotylédone
dicotyledones;dicotylédones
dictee;dictée
dictees;dictées
diedre;dièdre
dielectrique;diélectrique
dielectriques;diélectriques
dierese;diérèse
diete;diète
dietes;diètes
dieteticienne;diététicienne
dieteticiens;diététiciens
dietetique;diététique
dietetiques;diététiques
differaient;différaient
differant;différant
differee;différée
differees;différées
differemment;différemment
difference;différence
differences;différences
differenciant;différenciant
differenciateur;différenciateur
differenciateurs;différenciateurs
differenciation;différenciation
differenciations;différenciations
differenciee;différenciée
differenciees;différenciées
differencient;différencient
differencier;différencier
differencies;différenciés
differend;différend
differends;différends
differente;différente
differentes;différentes
differentiation;différentiation
differentie;différentié
differentiees;différentiées
differentiel;différentiel
differentielle;différentielle
differentielles;différentielles
differentiels;différentiels
differentier;différentier
differenties;différentiés
differents;différents
differer;différer
differera;différera
differes;différés
difficulte;difficulté
difficultes;difficultés
difformites;difformités
diffractee;diffractée
diffractometre;diffractomètre
diffractometres;diffractomètres
diffusee;diffusée
diffusees;diffusées
diffusivite;diffusivité
digere;digéré
digerees;digérées
digerer;digérer
digestibilite;digestibilité
digitalisee;digitalisée
digitees;digitées
dignite;dignité
diligentee;diligentée
diluee;diluée
diluees;diluées
dimensionnalite;dimensionnalité
dimensionnalites;dimensionnalités
dimensionnees;dimensionnées
dimere;dimère
dimeres;dimères
diminuee;diminuée
dinoflagelles;dinoflagellés
diocesain;diocésain
diocesaine;diocésaine
diocesaines;diocésaines
diocesains;diocésains
diocese;diocèse
dioceses;diocèses
diocletien;dioclétien
diogene;diogène
diogenes;diogènes
diplomant;diplômant
diplomee;diplômée
diplomees;diplômées
diploment;diplôment
dipole;dipôle
dipoles;dipôles
dipteres;diptères
directivite;directivité
dirigee;dirigée
dirigees;dirigées
discontinuite;discontinuité
discontinuites;discontinuités
discredit;discrédit
discrete;discrète
discretes;discrètes
discretion;discrétion
discretionnaire;discrétionnaire
discretisation;discrétisation
discretise;discrétisé
discretisees;discrétisées
discretiser;discrétiser
discretises;discrétisés
discursivite;discursivité
discutee;discutée
discutees;discutées
disloquee;disloquée
disparite;disparité
disparites;disparités
dispensee;dispensée
dispensees;dispensées
dispersee;dispersée
dispersees;dispersées
disponibilite;disponibilité
disponibilites;disponibilités
disposee;disposée
disposees;disposées
disproportionnee;disproportionnée
disproportionnees;disproportionnées
disputee;disputée
disputees;disputées
disqualifiee;disqualifiée
dissemination;dissémination
disseminations;disséminations
disseminee;disséminée
disseminees;disséminées
disseminer;disséminer
dissemines;disséminés
dissequer;disséquer
dissimulee;dissimulée
dissipee;dissipée
dissipees;dissipées
dissociee;dissociée
dissociees;dissociées
dissymetrie;dissymétrie
dissymetries;dissymétries
dissymetriques;dissymétriques
distanciee;distanciée
distinguee;distinguée
distinguees;distinguées
distribuee;distribuée
distribuees;distribuées
diurese;diurèse
diuretiques;diurétiques
diversifiee;diversifiée
diversifiees;diversifiées
diversite;diversité
diversites;diversités
divinite;divinité
divinites;divinités
divisee;divisée
divisees;divisées
divisibilite;divisibilité
divorcee;divorcée
divulguee;divulguée
dixieme;dixième
dixiemes;dixièmes
documentee;documentée
documentees;documentées
dodecaedre;dodécaèdre
doleance;doléance
doleances;doléances
domanialite;domanialité
dome;dôme
domes;dômes
domesticite;domesticité
domiciliee;domiciliée
dominee;dominée
dominees;dominées
donnee;donnée
donnees;données
dopee;dopée
dopees;dopées
doree;dorée
dorees;dorées
dorenavant;dorénavant
dorothee;dorothée
dosimetre;dosimètre
dosimetres;dosimètres
dosimetrie;dosimétrie
dosimetrique;dosimétrique
dostoievskiens;dostoïevskiens
dotee;dotée
dotees;dotées
douaniere;douanière
douanieres;douanières
doublee;doublée
doublees;doublées
douee;douée
douees;douées
douzieme;douzième
douziemes;douzièmes
drainees;drainées
dramatisee;dramatisée
drees;drées
drege;drège
drepanocytaire;drépanocytaire
drepanocytaires;drépanocytaires
drepanocytose;drépanocytose
drepanocytoses;drépanocytoses
dressees;dressées
drole;drôle
droles;drôles
dualite;dualité
dualites;dualités
duche;duché
duchere;duchère
ductilite;ductilité
dufrene;dufrêne
duodenal;duodénal
dupre;dupré
durabilite;durabilité
durabilites;durabilités
duree;durée
durees;durées
durete;dureté
dynamisee;dynamisée
dynamisees;dynamisées
dynamometriques;dynamométriques
dyskeratose;dyskératose
dyskinesies;dyskinésies
dyspnee;dyspnée
ebats;ébats
ebauche;ébauche
ebaucher;ébaucher
ebauches;ébauches
ebaucheur;ébaucheur
eboueur;éboueur
eboulement;éboulement
eboulements;éboulements
eboulis;éboulis
ebranlement;ébranlement
ebranlerent;ébranlèrent
ebrieuse;ébrieuse
ebullition;ébullition
ecaillage;écaillage
ecaille;écaille
ecailles;écailles
ecarlate;écarlate
ecart;écart
ecartait;écartait
ecartelee;écartelée
ecartelement;écartèlement
ecartent;écartent
ecarter;écarter
ecarts;écarts
ecclesial;ecclésial
ecclesiale;ecclésiale
ecclesiaste;ecclésiaste
ecclesiastique;ecclésiastique
ecclesiastiques;ecclésiastiques
ecclesiaux;ecclésiaux
ecclesiologie;ecclésiologie
ecclesiologies;ecclésiologies
echafaudage;échafaudage
echafaudages;échafaudages
echancrures;échancrures
echangeable;échangeable
echangee;échangée
echangees;échangées
echangent;échangent
echangeons;échangeons
echanger;échanger
echangeur;échangeur
echangeurs;échangeurs
echant;échant
echantillon;échantillon
echantillonnage;échantillonnage
echantillonnages;échantillonnages
echantillonne;échantillonné
echantillonnee;échantillonnée
echantillonnees;échantillonnées
echantillonner;échantillonner
echantillonnes;échantillonnés
echantillonneur;échantillonneur
echantillonneurs;échantillonneurs
echantillons;échantillons
echappant;échappant
echappatoire;échappatoire
echappee;échappée
echappement;échappement
echappements;échappements
echappent;échappent
echapper;échapper
echarde;écharde
echauffement;échauffement
echauffements;échauffements
eche;éché
echeance;échéance
echeances;échéances
echeancier;échéancier
echeant;échéant
echec;échec
echecs;échecs
echee;échée
echelle;échelle
echelles;échelles
echelon;échelon
echelonnaient;échelonnaient
echelonnee;échelonnée
echelons;échelons
echeveaux;écheveaux
echevinage;échevinage
echevins;échevins
echinides;échinides
echinococcose;échinococcose
echinodermes;échinodermes
echiqueenne;échiquéenne
echo;écho
echographes;échographes
echographie;échographie
echographique;échographique
echographiques;échographiques
echoir;échoir
echos;échos
echosondeur;échosondeur
echouage;échouage
echouages;échouages
echouant;échouant
echouees;échouées
echouent;échouent
echouer;échouer
eclair;éclair
eclairage;éclairage
eclairages;éclairages
eclairant;éclairant
eclairante;éclairante
eclairantes;éclairantes
eclaircie;éclaircie
eclaircies;éclaircies
eclaircir;éclaircir
eclaircissement;éclaircissement
eclaircissements;éclaircissements
eclairee;éclairée
eclairees;éclairées
eclairement;éclairement
eclairements;éclairements
eclairent;éclairent
eclairer;éclairer
eclaireront;éclaireront
eclaires;éclairés
eclaireurs;éclaireurs
eclairs;éclairs
eclat;éclat
eclatant;éclatant
eclatante;éclatante
eclate;éclaté
eclatee;éclatée
eclatees;éclatées
eclatement;éclatement
eclatements;éclatements
eclateurs;éclateurs
eclats;éclats
eclectique;éclectique
eclectiques;éclectiques
eclectisme;éclectisme
eclipse;éclipse
eclipses;éclipsés
ecloserie;écloserie
eclosion;éclosion
eclosions;éclosions
ecluse;écluse
ecogenetique;écogénétique
ecographie;écographie
ecole;école
ecoles;écoles
ecolier;écolier
ecoliers;écoliers
ecologie;écologie
ecologies;écologies
ecologique;écologique
ecologiquement;écologiquement
ecologiques;écologiques
ecologiste;écologiste
ecologistes;écologistes
ecologues;écologues
ecomusee;écomusée
ecomusees;écomusées
econome;économe
economes;économes
econometre;économètre
econometrie;économétrie
econometrique;économétrique
econometriques;économétriques
economie;économie
economies;économies
economique;économique
economiquement;économiquement
economiques;économiques
economiser;économiser
economisme;économisme
economiste;économiste
economistes;économistes
ecophysiologie;écophysiologie
ecorce;écorce
ecorces;écorces
ecorche;écorché
ecorcheur;écorcheur
ecorcheurs;écorcheurs
ecosphere;écosphère
ecossais;écossais
ecossaise;écossaise
ecossaises;écossaises
ecosysteme;écosystème
ecosystemes;écosystèmes
ecotones;écotones
ecotoxicologie;écotoxicologie
ecotypes;écotypes
ecoulant;écoulant
ecoulee;écoulée
ecoulees;écoulées
ecoulement;écoulement
ecoulements;écoulements
ecourte;écourté
ecourtee;écourtée
ecoutant;écoutant
ecoutent;écoutent
ecouter;écouter
ecoutes;écoutes
ecouvillon;écouvillon
ecran;écran
ecrans;écrans
ecrasante;écrasante
ecrevisse;écrevisse
ecrevisses;écrevisses
ecrire;écrire
ecris;écris
ecrit;écrit
ecrite;écrite
ecriteaux;écriteaux
ecrites;écrites
ecritoire;écritoire
ecrits;écrits
ecriture;écriture
ecritures;écritures
ecrivain;écrivain
ecrivains;écrivains
ecrivait;écrivait
ecrivant;écrivant
ecrivants;écrivants
ecrivent;écrivent
ecrivit;écrivit
ecrivons;écrivons
ecroui;écroui
ecrouis;écrouis
ecrouissage;écrouissage
ecrous;écrous
ecrues;écrues
ecu;écu
ecueil;écueil
ecueils;écueils
ecume;écume
ecureuil;écureuil
ecuries;écuries
ecuyer;écuyer
eczema;eczéma
edaphique;édaphique
edentement;édentement
edifiant;édifiant
edifiante;édifiante
edification;édification
edifice;édifice
edifices;édifices
edifiees;édifiées
ediles;édiles
edilitaire;édilitaire
edilite;édilité
edit;édit
editant;éditant
editee;éditée
editees;éditées
editent;éditent
editer;éditer
edites;édités
editeur;éditeur
editeurs;éditeurs
edition;édition
editions;éditions
editons;éditons
editorial;éditorial
editoriale;éditoriale
editoriales;éditoriales
